Open,Delta,FractionalIncrease,High,Low,Positive,ReuterCredit,reuter_score,InvestCredit,invest_score,FoolCredit,fool_score,CnbcCredit,cnbc_score,MarketCredit,market_score
778.55,-4.060000000000058,-0.005187769131495968,799.74,773.145,False,0.9147269764086104,0.4986,0.8988500535359272,0.7968000000000001,0.8918053097419438,0.9744,0.8954140597419438,0.8665700000000001,0.872976509838307,0.7782454545454545
792.95,14.400000000000093,0.018495921906107625,792.0,753.36,True,0.9276444498775337,0.37949,0.9167270176487285,0.799275,0.8927336165442004,0.9909099999999998,0.9033579915442005,0.73287,0.8963745909265741,0.5881454545454546
817.36,24.409999999999968,0.030783782079576227,824.3,787.905,True,0.9116712731529864,0.57817,0.8847277000395767,0.9310666666666666,0.8780465707720341,0.9864,0.8877973297006054,0.8275100000000002,0.8708006293917924,0.4099545454545454
809.1,-8.259999999999991,-0.010105706175981196,823.0,804.5,False,0.9164019272889844,0.08370000000000001,0.8771616071517652,0.9829,0.8708134232206722,0.9846272727272728,0.8961323065458089,0.8373299999999999,0.8703772897247358,0.8110909090909092
802.33,-6.769999999999982,-0.00836732171548632,816.0,802.44,False,0.9105500182918119,0.6271000000000001,0.8732774652527893,0.958125,0.8723985603228982,0.9676,0.8900393745868909,0.98903,0.875326032843021,0.9626100000000001
807.5,5.169999999999959,0.006443732628718805,813.43,789.62,True,0.9185774498723529,0.5114555555555556,0.8749079141811679,0.95878,0.878936443437866,0.9859454545454548,0.9192943505698624,0.97262,0.8946709239627555,0.7510363636363636
828.38,20.879999999999995,0.02585758513931888,830.43,805.92,True,0.8899935229233449,0.6113199999999999,0.8607628670614129,0.96084,0.8597597697061016,0.7442200000000001,0.9040329732720999,0.73827,0.8792145461804545,0.6052272727272727
829.0,0.6200000000000045,0.0007484487795456246,834.65,821.01,True,0.8955140019007443,0.5368625,0.8667866696328188,0.9787875,0.8652859479545196,0.76898,0.9088892192873701,0.84278,0.884017464471,0.7052333333333332
859.05,30.049999999999947,0.03624849215922793,858.794,823.96,True,0.8926777537881785,0.321025,0.8602843830878811,0.970125,0.8624525494774634,0.97644,0.9057208546937398,0.47855,0.8808224360150076,0.5991285714285715
815.0,-44.04999999999996,-0.05127757406437339,867.0,812.25,False,0.8851147577396452,0.17561111111111108,0.8577207480393836,0.9791,0.8551652534265495,0.94103,0.8982660755845391,0.5018199999999999,0.8733543249746255,0.5158400000000001
831.73,16.730000000000018,0.020527607361963213,834.25,812.051,True,0.8931894091067345,0.5328545454545455,0.8658950342944468,0.97615,0.8797113760056011,0.8177899999999999,0.9064778645415608,0.8679699999999999,0.8923308324505651,0.6981833333333333
838.5,6.769999999999982,0.008139660707200631,842.0,826.5,True,0.9104484517839676,0.5366111111111111,0.8868435796592739,0.90555,0.8850852820748414,0.7933999999999999,0.9215101143752392,0.71226,0.8988984505300767,0.6701818181818182
851.08,12.580000000000036,0.015002981514609468,853.79,837.26,True,0.8973842105428224,0.2858333333333333,0.8739878290129656,0.9356,0.8723385405568109,0.77863,0.9084398479985524,0.69981,0.8867485650171818,0.67155
856.31,5.2299999999999045,0.0061451332424682795,858.0,841.442,True,0.9054078577100655,0.8886888888888889,0.877652320654655,0.6732199999999999,0.8805209375856115,0.98734,0.9164604825980248,0.8689500000000001,0.8952293900485501,0.8196333333333334
853.69,-2.6199999999998917,-0.0030596396164939,856.93,841.17,False,0.9113769902137626,0.30977777777777776,0.8859052762185474,0.9845333333333331,0.8865694450200872,0.9939399999999999,0.9224281088178365,0.7563699999999999,0.9014271114843099,0.888390909090909
870.53,16.839999999999918,0.019726130094062152,869.88,852.67,True,0.9092034834209857,0.1197111111111111,0.8833814484756702,0.9938600000000001,0.8988286548100105,0.9950600000000002,0.920253848883117,0.59772,0.8971143259302446,0.5251
841.39,-29.139999999999986,-0.0334738607514962,874.42,847.0,False,0.9115234856976996,0.5433090909090909,0.8764541348917084,0.9917,0.8822569047255454,0.8167099999999999,0.9066765850954317,0.6963199999999999,0.8812697726182295,0.5952583333333333
851.98,10.590000000000034,0.01258631550172932,851.585,824.3,True,0.916648063999285,0.6978888888888891,0.8877683128387136,0.68624,0.889046107798379,0.98244,0.9061748504405754,0.68719,0.9135480489551763,0.3678400000000001
849.5,-2.480000000000018,-0.002910866452264159,860.59,845.245,False,0.9234200584174768,0.49925,0.8903992274214895,0.7289200000000001,0.892159610620054,0.99392,0.9223793986078189,0.67119,0.9154449984516547,0.4298888888888889
841.04,-8.460000000000036,-0.00995879929370222,853.59,834.6,False,0.9002693037431214,0.090925,0.8820293786205009,0.78495,0.8813958202197832,0.9645499999999998,0.8997294642136658,0.96165,0.9010378593420914,0.39419166666666666
859.74,18.70000000000005,0.022234376486255168,860.2,837.85,True,0.9204412647873479,0.07521111111111109,0.8921727514721766,0.8450285714285715,0.893552644300613,0.9698818181818182,0.923806142959302,0.5875363636363636,0.894373973972112,0.5427454545454548
890.0,30.25999999999999,0.0351966873706004,892.99,857.5,True,0.9342281416826191,0.2858,0.8977232209666189,0.97031,0.8971001256914354,0.96981,0.9290918279349873,0.7149599999999999,0.8956658296496659,0.4318272727272727
950.29,60.28999999999997,0.06774157303370783,950.2,887.18,True,0.9300804147562151,0.30759999999999993,0.9072663294671927,0.97107,0.900055778481286,0.9644100000000002,0.9348701241839358,0.59106,0.8890295326781201,0.7097916666666667
951.29,1.0,0.0010523103473676458,962.2,947.37,True,0.9219486581041797,0.3924875,0.9009361104580772,0.29284999999999994,0.8976976562545939,0.9803090909090908,0.9388377836513734,0.8818,0.8812224149848263,
