Date,Open,Delta,FractionalIncrease,High,Low,Positive
2016-11-17,51.071999999999996,-1.5760000000000076,-0.029934660385959724,52.723,50.443000000000005,False
2016-11-25,50.799,-0.27299999999999613,-0.00534539473684203,51.218999999999994,50.349,False
2016-12-01,51.718999999999994,0.9199999999999946,0.018110592728203204,51.531000000000006,50.631,True
2016-12-08,51.278,-0.4409999999999954,-0.008526847000135259,51.925,50.621,False
2016-12-15,49.495,-1.7830000000000013,-0.03477124692850738,51.372,49.523,False
2016-12-22,49.138000000000005,-0.3569999999999922,-0.007212849782806187,49.786,48.678999999999995,False
2016-12-29,49.306999999999995,0.16899999999998983,0.0034392934185353457,49.402,48.538000000000004,True
2017-01-05,50.873999999999995,1.5670000000000002,0.031780477416999624,50.246,49.082,True
2017-01-12,51.39,0.5160000000000053,0.010142705507725074,51.568999999999996,50.631,True
2017-01-19,52.178000000000004,0.7880000000000038,0.015333722514107877,52.423,51.174,True
2017-01-26,53.07899999999999,0.9009999999999891,0.017267814021234795,52.976000000000006,51.943999999999996,True
2017-02-02,53.38,0.30100000000000904,0.005670792592174101,53.792,53.013999999999996,True
2017-02-09,53.596000000000004,0.21600000000000108,0.004046459348070458,53.708,52.864,True
2017-02-16,53.201,-0.3950000000000031,-0.007369952981565846,53.952,52.798,False
2017-02-23,52.563,-0.6379999999999981,-0.011992255784665666,53.295,52.226000000000006,False
2017-03-02,51.644,-0.919000000000004,-0.017483781367121434,52.723,51.812,False
2017-03-09,51.25899999999999,-0.3850000000000051,-0.007454883432731879,52.056999999999995,51.118,False
2017-03-16,51.747,0.48800000000000665,0.009520279365574957,51.483999999999995,50.565,True
2017-03-23,53.023,1.2760000000000034,0.024658434305370423,55.2,51.736999999999995,True
2017-03-30,51.729,-1.294000000000004,-0.024404503705939006,53.577,51.794,False
2017-04-06,52.141000000000005,0.41200000000000614,0.00796458466237519,52.657,51.55,True
2017-04-13,51.053000000000004,-1.088000000000001,-0.020866496614947945,52.141000000000005,50.64,False
2017-04-20,50.827,-0.2260000000000062,-0.0044267721779328575,51.25899999999999,50.20399999999999,False
2017-04-27,50.292,-0.5349999999999966,-0.010525901587738733,50.827,49.926,False
2017-05-04,50.565,0.27299999999999613,0.0054282987353852724,50.321000000000005,49.805,True
2017-05-11,51.475,0.9100000000000037,0.017996637990705108,51.756,50.113,True
2017-05-18,51.128,-0.3470000000000013,-0.006741136474016538,51.887,51.156000000000006,False
2017-05-25,52.46,1.3320000000000007,0.026052260992020043,52.386,51.034,True
2017-06-01,52.474,0.013999999999995794,0.0002668699961874913,52.573,51.85,True
2017-06-08,51.989,-0.48499999999999943,-0.00924267256164957,52.826,51.856,False
2017-06-15,50.801,-1.1879999999999953,-0.02285098770893834,51.989,50.677,False
2017-06-22,51.153,0.35199999999999676,0.006928997460679844,51.656000000000006,50.63,True
2017-06-29,50.706,-0.4469999999999956,-0.008738490411119498,51.266999999999996,50.525,False
2017-07-06,49.042,-1.6640000000000015,-0.03281662919575595,50.725,49.071000000000005,False
2017-07-13,49.755,0.713000000000001,0.014538558786346417,49.67,48.766999999999996,True
2017-07-20,50.573,0.8179999999999978,0.01644055873781525,50.858000000000004,49.717,True
2017-07-27,50.981,0.40800000000000125,0.00806754592371426,51.49,50.074,True
2017-08-03,51.0,0.01899999999999835,0.00037268786410620333,51.143,50.306999999999995,True
2017-08-10,52.645,1.6450000000000031,0.03225490196078438,51.333,50.25,True
2017-08-17,52.598,-0.04700000000000415,-0.0008927723430526003,54.119,52.273999999999994,False
2017-08-24,53.472,0.8740000000000023,0.01661660139168794,53.852,52.303000000000004,True
2017-08-31,53.07,-0.402000000000001,-0.0075179533213644715,53.83,52.91,False
2017-09-07,52.88,-0.18999999999999773,-0.003580177124552435,53.31,52.01,False
2017-09-14,52.11,-0.7700000000000031,-0.01456127080181549,53.24,52.45,False
2017-09-21,51.48,-0.6300000000000026,-0.012089810017271206,52.49,51.07,False
2017-09-28,50.69,-0.7899999999999991,-0.01534576534576533,51.6,50.45,False
2017-10-05,50.58,-0.10999999999999943,-0.0021700532649437648,51.0,50.33,False
2017-10-12,50.41,-0.1700000000000017,-0.003361012257809445,50.945,50.07,False
2017-10-19,50.43,0.020000000000003126,0.00039674667724664013,50.9,50.31,True
2017-10-26,50.345,-0.08500000000000085,-0.001685504659924665,51.29,50.0,False
2017-11-02,50.63,0.2850000000000037,0.005660939517330494,50.95,50.1,True
2017-11-09,51.02,0.39000000000000057,0.007702942919217866,51.1,50.48,True
