Date,Open,Delta,FractionalIncrease,High,Low,Positive
2016-11-17,749.32,-29.489999999999895,-0.03786546140907268,778.83,710.1,False
2016-11-25,786.5,37.17999999999995,0.04961832061068695,792.4,748.0,True
2016-12-01,752.41,-34.09000000000003,-0.04334392879847429,786.75,750.25,False
2016-12-08,771.87,19.460000000000036,0.025863558432237792,770.42,736.7,True
2016-12-15,766.28,-5.590000000000032,-0.007242152175884581,782.46,757.2,False
2016-12-22,768.12,1.8400000000000318,0.0024012110455708512,774.39,754.0,True
2016-12-29,772.4,4.279999999999973,0.005572046034473745,780.0,757.99,True
2017-01-05,761.55,-10.850000000000023,-0.014047125841532915,773.4,747.7,False
2017-01-12,800.31,38.75999999999999,0.05089619854244632,801.7739999999999,760.2560000000001,True
2017-01-19,810.0,9.690000000000055,0.012107808224313147,821.65,799.5,True
2017-01-26,835.53,25.529999999999973,0.03151851851851849,837.418,805.08,True
2017-02-02,836.59,1.0600000000000591,0.001268655823249984,843.84,816.38,True
2017-02-09,821.6,-14.990000000000009,-0.017917976547651787,842.49,803.0,False
2017-02-16,841.84,20.24000000000001,0.02463485881207401,843.0,819.71,True
2017-02-23,857.57,15.730000000000018,0.018685260857170028,858.43,839.375,True
2017-03-02,853.08,-4.490000000000009,-0.005235724197441618,860.86,837.75,False
2017-03-09,851.0,-2.080000000000041,-0.0024382238477048354,854.82,841.12,False
2017-03-16,855.3,4.2999999999999545,0.005052878965922391,857.35,847.11,True
2017-03-23,848.2,-7.099999999999909,-0.008301180872208476,862.795,839.05,False
2017-03-30,874.95,26.75,0.03153737326102334,876.438,833.5,True
2017-04-06,913.8,38.84999999999991,0.04440253728784491,923.72,871.66,True
2017-04-13,891.45,-22.34999999999991,-0.024458305975049145,917.19,889.31,False
2017-04-20,899.7,8.25,0.009254585226316675,910.5,884.49,True
2017-04-27,914.39,14.68999999999994,0.016327664777147873,915.7489999999999,896.29,True
2017-05-04,944.75,30.360000000000014,0.03320246284408186,954.4,912.11,True
2017-05-11,945.11,0.36000000000001364,0.00038105318867426687,957.89,930.3,True
2017-05-18,944.8,-0.3100000000000591,-0.00032800414766541365,970.06,940.775,False
2017-05-25,984.85,40.05000000000007,0.042389923793395505,981.0,944.76,True
2017-06-01,998.59,13.740000000000009,0.013951363151749007,1001.2,982.11,True
2017-06-08,1012.06,13.469999999999914,0.013489019517519615,1016.5,991.37,True
2017-06-15,958.7,-53.3599999999999,-0.05272414678971593,1013.61,927.0,False
2017-06-22,1002.23,43.52999999999997,0.04540523625743191,1017.0,950.86,True
2017-06-29,979.0,-23.230000000000018,-0.02317831236342957,1009.8,969.21,False
2017-07-06,964.66,-14.340000000000032,-0.014647599591419848,987.56,951.0,False
2017-07-13,1004.62,39.960000000000036,0.041423921381626726,1008.55,959.02,True
2017-07-20,1031.59,26.969999999999914,0.026845971611156372,1031.59,995.9,True
2017-07-27,1069.55,37.960000000000036,0.03679756492404932,1053.2,1011.0,True
2017-08-03,999.47,-70.07999999999993,-0.06552288345565886,1083.31,981.73,False
2017-08-10,976.295,-23.175000000000068,-0.02318728926330962,999.5,975.27,False
2017-08-17,977.84,1.5450000000000728,0.0015825134820930894,991.74,951.38,True
2017-08-24,957.42,-20.420000000000073,-0.020882762006054233,977.84,945.46,False
2017-08-31,974.7,17.280000000000086,0.01804850535815012,969.41,936.33,True
2017-09-07,974.0,-0.7000000000000455,-0.000718169693238992,984.5,960.37,False
2017-09-14,996.8,22.799999999999955,0.02340862422997942,1000.0,963.47,True
2017-09-21,971.31,-25.49000000000001,-0.02557182985553773,998.56,962.163,False
2017-09-28,951.86,-19.449999999999932,-0.020024502990806162,971.7,931.75,False
2017-10-05,970.0,18.139999999999986,0.019057424411152886,967.79,950.1010000000001,True
2017-10-12,996.81,26.809999999999945,0.027639175257731904,998.5,969.64,True
2017-10-19,990.0,-6.809999999999945,-0.006831793421012977,1022.31,992.4,False
2017-10-26,980.33,-9.669999999999959,-0.009767676767676727,994.62,962.5,False
2017-11-02,1097.81,117.4799999999999,0.1198371976783327,1122.79,968.55,True
2017-11-09,1125.96,28.15000000000009,0.025641959901986765,1135.54,1086.87,True
