Date,Open,Delta,High,Low,Positive
2016-11-14,69.236,1.4980000000000047,70.143,67.292,True
2016-11-21,66.755,-2.4810000000000088,70.113,66.279,False
2016-11-28,69.013,2.2580000000000098,69.714,66.571,True
2016-12-05,68.983,-0.030000000000001137,69.851,68.156,False
2016-12-12,68.665,-0.31799999999999784,69.477,67.622,False
2016-12-19,69.419,0.7539999999999907,71.02600000000001,68.615,True
2016-12-27,67.91,-1.5090000000000003,70.555,67.821,False
2017-01-03,67.851,-0.0589999999999975,68.586,67.45,False
2017-01-09,66.959,-0.8919999999999959,68.234,66.646,False
2017-01-17,66.72399999999999,-0.23500000000001364,67.88,65.734,False
2017-01-23,65.666,-1.0579999999999927,67.9,65.676,False
2017-01-30,64.313,-1.3529999999999944,66.372,63.971000000000004,False
2017-02-06,65.039,0.7259999999999991,65.793,64.313,True
2017-02-13,66.949,1.9099999999999966,67.753,65.039,True
2017-02-21,69.781,2.832000000000008,68.385,66.205,True
2017-02-27,70.829,1.0479999999999876,71.34,69.281,True
2017-03-06,68.596,-2.23299999999999,70.967,68.47800000000001,False
2017-03-13,69.09,0.4939999999999998,69.46,68.381,True
2017-03-20,69.238,0.14799999999999613,70.29,68.814,True
2017-03-27,68.626,-0.6119999999999948,69.545,68.633,False
2017-04-03,71.153,2.527000000000001,71.627,68.439,True
2017-04-10,72.05199999999999,0.8989999999999867,72.05199999999999,70.462,True
2017-04-17,72.22,0.16800000000000637,72.881,71.795,True
2017-04-24,74.115,1.894999999999996,74.145,72.21,True
2017-05-01,74.125,0.010000000000005116,74.793,73.46300000000001,True
2017-05-08,75.516,1.3910000000000053,75.619,74.125,True
2017-05-15,75.32600000000001,-0.18999999999999773,76.3,74.899,False
2017-05-22,78.158,2.8319999999999936,78.943,74.491,True
2017-05-30,77.512,-0.6460000000000008,78.506,77.304,False
2017-06-05,79.102,1.5900000000000034,79.43,77.443,True
2017-06-12,78.904,-0.1980000000000075,79.972,77.741,False
2017-06-19,74.90899999999999,-3.9950000000000045,79.868,72.832,False
2017-06-26,74.482,-0.4269999999999925,76.126,74.054,False
2017-07-03,75.366,0.8840000000000003,76.32,74.452,True
2017-07-10,74.68,-0.6859999999999928,75.863,74.581,False
2017-07-17,75.813,1.1329999999999956,76.07600000000001,72.673,True
2017-07-24,75.555,-0.25799999999999557,76.39,75.078,False
2017-07-31,79.321,3.765999999999991,79.455,75.555,True
2017-08-07,80.066,0.7450000000000045,81.249,79.197,True
2017-08-14,80.59,0.5240000000000009,81.99,80.03699999999999,True
2017-08-21,79.12,-1.4699999999999989,81.44,78.33,False
2017-08-28,78.41,-0.710000000000008,80.88,77.85,False
2017-09-05,77.95,-0.45999999999999375,79.1,77.5,False
2017-09-11,79.15,1.2000000000000028,80.76,77.73,True
2017-09-18,80.21,1.059999999999988,80.75,78.66,True
2017-09-25,78.92,-1.289999999999992,81.12,79.25,False
2017-10-02,77.9,-1.019999999999996,80.1,77.98,False
2017-10-09,79.9258,2.0257999999999896,79.81,77.5,True
2017-10-16,86.58,6.654200000000003,86.95,79.89,True
2017-10-23,87.34,0.7600000000000051,87.45,85.02,True
2017-10-30,87.84,0.5,89.11,87.15,True
2017-11-06,89.42,1.5799999999999983,89.88,86.391,True
