Date,Open,Delta,FractionalIncrease,High,Low,Positive,StockScore,reuter_score,reuter_credibility,reuter_cumu,fool_score,fool_credibility,fool_cumu,invest_score,invest_credibility,invest_cumu,cnbc_score,cnbc_credibility,cnbc_cumu,market_score,market_credibility,market_cumu
2016-11-17,45.726000000000006,0.08600000000000563,0.0018843120070115168,45.756,43.878,True,0.009403840265932469,,,,,,,,,,,,,,,
2016-11-25,47.89100000000001,2.164999999999999,0.0473472422691685,48.303,45.36,True,0.22603411914555954,,,,,,,,,,,,,,,
2016-12-01,47.49100000000001,-0.3999999999999986,-0.008352300014616494,48.826,47.58600000000001,False,-0.042113242509106835,0.6248333333333334,0.9789433787454466,0.9789433787454466,0.9908285714285715,0.9789433787454466,0.9789433787454466,,,,0.6801428571428572,0.9789433787454466,0.9789433787454466,0.6369,0.9789433787454466,0.9789433787454466
2016-12-08,48.855,1.3639999999999899,0.028721231391210755,49.04600000000001,47.024,True,0.13959676594002557,0.42200999999999994,0.9302016170299872,0.9545724978877168,0.9898166666666666,0.9302016170299872,0.9545724978877168,0.9739666666666666,0.9302016170299872,0.9302016170299872,0.61832,0.9302016170299872,0.9545724978877168,-0.0005499999999999949,0.9302016170299872,0.9545724978877168
2016-12-15,48.988,0.13300000000000267,0.0027223416231706623,50.218,48.555,True,0.013574753000735145,0.65835,0.9932126234996325,0.9738925606936746,0.98335,0.9932126234996325,0.9738925606936746,0.9664,0.9932126234996325,0.9617071202648098,0.604,0.9932126234996325,0.9738925606936746,0.998,0.9932126234996325,0.9738925606936746
2016-12-22,50.399,1.4109999999999945,0.028802972156446362,50.981,48.869,True,0.13998293616936788,,,0.9738925606936746,0.9947000000000001,0.9300085319153161,0.9519505463044953,,,0.9617071202648098,0.9001,0.9300085319153161,0.9519505463044953,0.9981,0.9300085319153161,0.9519505463044953
2016-12-29,51.105,0.7060000000000031,0.014008214448699442,51.334,50.275,True,0.06907347617649967,0.8755999999999999,0.9654632619117501,0.9696779113027123,0.9867999999999999,0.9654632619117501,0.9587069041081226,,,0.9617071202648098,0.7015333333333333,0.9654632619117501,0.9587069041081226,0.9913000000000001,0.9654632619117501,0.9587069041081226
2017-01-05,52.239,1.1340000000000003,0.02218960962723805,52.269,50.705,True,0.10853959685292601,0.9020999999999999,0.945730201573537,0.9577040564381247,0.9516749999999999,0.945730201573537,0.9522185528408298,0.9721,0.945730201573537,0.9537186609191735,0.48599999999999993,0.945730201573537,0.9522185528408298,0.645125,0.945730201573537,0.9522185528408298
2017-01-12,50.533,-1.7059999999999957,-0.03265759298608312,52.288,50.13800000000001,False,-0.16880058575584228,0.9633,0.9155997071220788,0.9366518817801017,0.8975600000000001,0.9155997071220788,0.9339091299814544,0.9738,0.9155997071220788,0.9346591840206262,0.5574499999999999,0.9155997071220788,0.9339091299814544,0.9895000000000002,0.9155997071220788,0.9339091299814544
2017-01-19,50.648,0.115000000000002,0.0022757406051491496,50.986,50.32100000000001,True,0.011352866845680184,,,0.9366518817801017,,,0.9339091299814544,,,0.9346591840206262,,,0.9339091299814544,,,0.9339091299814544
2017-01-26,46.986,-3.6619999999999986,-0.07230295371979148,51.275,47.073,False,-0.3896905461201207,,,0.9366518817801017,,,0.9339091299814544,,,0.9346591840206262,,,0.9339091299814544,,,0.9339091299814544
2017-02-02,46.784,-0.2020000000000053,-0.004299152939173483,48.037,46.505,False,-0.021588577291382232,0.9210666666666668,0.9892057113543089,0.9629287965672053,0.9957666666666666,0.9892057113543089,0.9615574206678816,0.017549999999999955,0.9892057113543089,0.9619324476874676,0.710175,0.9892057113543089,0.9615574206678816,0.9967,0.9892057113543089,0.9615574206678816
2017-02-09,46.764,-0.02000000000000313,-0.0004274965800274266,46.909,46.07,False,-0.002138397057565983,0.77725,0.998930801471217,0.9809297990192112,0.9955428571428572,0.998930801471217,0.9802441110695493,-0.027500000000000007,0.998930801471217,0.9804316245793423,0.6587,0.998930801471217,0.9802441110695493,0.9844666666666667,0.998930801471217,0.9802441110695493
2017-02-16,46.292,-0.4719999999999942,-0.01009323411170974,47.342,46.07,False,-0.05098073101183727,0.64706,0.9745096344940813,0.9777197167566463,0.99824,0.9745096344940813,0.9773768727818153,0.95365,0.9745096344940813,0.9774706295367118,0.7402666666666665,0.9745096344940813,0.9773768727818153,0.99185,0.9745096344940813,0.9773768727818153
2017-02-23,48.17100000000001,1.8790000000000049,0.04059016676747613,47.901,46.157,True,0.1950343567706716,0.1199333333333333,0.9024828216146642,0.9401012691856552,0.9900499999999999,0.9024828216146642,0.9399298471982398,0.9972,0.9024828216146642,0.939976725575688,0.8638,0.9024828216146642,0.9399298471982398,0.9979,0.9024828216146642,0.9399298471982398
